"rank","doc_index","topic_probability","topic_letter","topic_number"
26,9007,0.519639728893596,"K",11
27,20979,0.51567332068759,"K",11
28,21266,0.515643360282066,"K",11
29,16421,0.511927578564105,"K",11
30,3301,0.509846685201002,"K",11
31,25313,0.509648764093318,"K",11
32,20339,0.495188214815978,"K",11
33,6137,0.493505210744839,"K",11
34,13253,0.490980190960476,"K",11
35,4943,0.490616006368673,"K",11
36,8700,0.488439849092217,"K",11
37,12891,0.487540571029851,"K",11
38,18657,0.486821172369241,"K",11
39,14302,0.485608047205236,"K",11
40,19230,0.480935312768722,"K",11
41,22843,0.479900406492023,"K",11
42,6854,0.478329165772354,"K",11
43,10018,0.47808733547304,"K",11
44,20193,0.476921014546253,"K",11
45,19355,0.476509934173281,"K",11
46,11123,0.469415009764236,"K",11
47,17322,0.46425734488717,"K",11
48,19911,0.463408002481251,"K",11
49,15700,0.460285345276036,"K",11
50,16896,0.458655437032967,"K",11
1,8881,0.678502246315273,"AA",27
2,20964,0.637188619767072,"AA",27
3,4589,0.630507981964511,"AA",27
4,19981,0.591654260110017,"AA",27
5,13864,0.583139497315018,"AA",27
6,20960,0.556488723170384,"AA",27
7,21625,0.553917485695666,"AA",27
8,20005,0.550915438968601,"AA",27
9,20122,0.540870099476555,"AA",27
10,23686,0.537620608949644,"AA",27
11,19287,0.529675863910322,"AA",27
12,13867,0.523429611799971,"AA",27
13,4571,0.519656482197286,"AA",27
14,23880,0.514371226666083,"AA",27
15,20725,0.503366534410208,"AA",27
16,9471,0.492647526941612,"AA",27
17,21172,0.490375317978117,"AA",27
18,20958,0.488914461387559,"AA",27
19,15666,0.485319844487557,"AA",27
20,16623,0.481570672309444,"AA",27
21,20959,0.480839818151672,"AA",27
22,21253,0.46947717605197,"AA",27
23,20963,0.462672183455481,"AA",27
24,3053,0.46076064206026,"AA",27
25,13868,0.458566032870162,"AA",27
26,20961,0.447116853735048,"AA",27
27,16625,0.442754021560586,"AA",27
28,6876,0.425542601974427,"AA",27
29,23067,0.423505064985203,"AA",27
30,19369,0.42336116217092,"AA",27
31,23682,0.418836174840422,"AA",27
32,19307,0.418177987255596,"AA",27
33,23935,0.41613350045385,"AA",27
34,6841,0.415183691639307,"AA",27
35,19395,0.414614166718,"AA",27
36,20010,0.411086936427004,"AA",27
37,24420,0.411051470827284,"AA",27
38,16105,0.40326117168305,"AA",27
39,6827,0.401860442247387,"AA",27
40,19370,0.401682618613062,"AA",27
41,6233,0.399265526611136,"AA",27
42,23153,0.398235598289761,"AA",27
43,14380,0.391015975778054,"AA",27
44,18643,0.388765117851865,"AA",27
45,255,0.383897220523288,"AA",27
46,18135,0.379998775066479,"AA",27
47,15661,0.372466648287169,"AA",27
48,7364,0.36890223271782,"AA",27
49,4677,0.365439612688651,"AA",27
50,21537,0.365037060961112,"AA",27
1,17323,0.648941268641823,"FF",32
2,25032,0.595897784002927,"FF",32
3,9448,0.569426334237583,"FF",32
4,22902,0.568227696874337,"FF",32
5,19772,0.562237519796601,"FF",32
6,22441,0.55977692263539,"FF",32
7,24579,0.54070915158303,"FF",32
8,19662,0.540240751283182,"FF",32
9,20023,0.536973556968948,"FF",32
10,4835,0.530463797573335,"FF",32
11,19378,0.507150153624854,"FF",32
12,24516,0.502500736080154,"FF",32
13,19413,0.501632240710895,"FF",32
14,22888,0.50020239909687,"FF",32
15,25049,0.498278965351705,"FF",32
16,16457,0.497474465562619,"FF",32
17,8101,0.496153519564259,"FF",32
18,22886,0.493132387813214,"FF",32
19,20828,0.491228601251101,"FF",32
20,19158,0.488603355778381,"FF",32
21,24668,0.487409245154038,"FF",32
22,22191,0.487299155532323,"FF",32
23,24879,0.486697900467354,"FF",32
24,21817,0.484546182209467,"FF",32
25,25716,0.484504862788185,"FF",32
26,16530,0.484245098265492,"FF",32
27,20395,0.480156508000165,"FF",32
28,24757,0.47968261617279,"FF",32
29,9063,0.479134085454183,"FF",32
30,17101,0.478662327632868,"FF",32
31,23131,0.476699440120053,"FF",32
32,16429,0.475207841478162,"FF",32
33,23817,0.472774321811306,"FF",32
34,4903,0.466241554103629,"FF",32
35,23001,0.465283684006461,"FF",32
36,25700,0.46298865363234,"FF",32
37,23341,0.461772069046995,"FF",32
38,22438,0.461750074398169,"FF",32
39,18268,0.458665564685136,"FF",32
40,25453,0.458579120943518,"FF",32
41,25178,0.458315654024216,"FF",32
42,23574,0.458248706276815,"FF",32
43,25740,0.456741449042948,"FF",32
44,23201,0.456543435101995,"FF",32
45,17985,0.455240859204485,"FF",32
46,17057,0.454587311371873,"FF",32
47,18100,0.452745852480246,"FF",32
48,11418,0.452233193261352,"FF",32
49,24815,0.451630146299261,"FF",32
50,12395,0.44914686888751,"FF",32
1,9692,0.572898847485811,"GG",33
2,12861,0.559042401028258,"GG",33
3,13752,0.555515775405796,"GG",33
4,12709,0.526161769637882,"GG",33
5,22277,0.525428848786377,"GG",33
6,17595,0.521752159879376,"GG",33
7,14561,0.505564615932285,"GG",33
8,15487,0.502027074739686,"GG",33
9,15502,0.497776643212661,"GG",33
10,17559,0.47726872435653,"GG",33
