"word","degree","betweenness","closeness","eigenvector","pagerank","topic"
"will",19,0,0.000374023110691155,0.826755185394247,0.0537688107598667,"Topic 15"
"time",19,0,0.00032116837674741,1,0.0644181730387491,"Topic 15"
"take",19,0,0.000389535837297031,0.785816609808117,0.051356652783171,"Topic 15"
"one",19,0,0.000324542224651544,0.982415894310811,0.0633045321850817,"Topic 15"
"good",19,0,0.000472108336439309,0.644770562302875,0.0432337733683556,"Topic 15"
"that",19,0.222222222222222,0.000676012239379492,0.450484930866917,0.0324239573640537,"Topic 15"
"feel",19,0,0.000537756141741198,0.56654453084263,0.0388535758127709,"Topic 15"
"way",19,0,0.000444923192206819,0.682295655549356,0.0454371770795054,"Topic 15"
"say",19,0,0.000238441845288891,0.901578022331383,0.0525195737471192,"Topic 1"
"get",19,0,0.000216135050279838,0.988388330239917,0.0572054173405648,"Topic 1"
"can",19,0,0.000219015123570638,0.976345480266345,0.056546291992766,"Topic 1"
"dont",19,0,0.000239783942048007,0.896604447379429,0.052267376398756,"Topic 1"
"like",19,0,0.000220312844238819,0.970721860005137,0.0562572546441193,"Topic 1"
"peopl",19,0,0.000251242991642865,0.858128594933242,0.0502076930374901,"Topic 1"
"just",19,0,0.000232963044704382,0.921249315527206,0.0535895277209214,"Topic 1"
"think",19,0,0.000269198073108529,0.802593559299189,0.0473448939857851,"Topic 1"
"make",19,0,0.000241236144792473,0.891512299813009,0.0519957594186184,"Topic 1"
"thing",19,0,0.000280058370060286,0.77264973569308,0.0457891477249305,"Topic 1"
"want",19,0,0.000267421075595716,0.807920270962419,0.0476098431747875,"Topic 1"
"know",19,0,0.000266591833871194,0.810087019353923,0.0477376345565852,"Topic 1"
"will",19,0,0.000244895854815426,0.879431795288803,0.0513213223452324,"Topic 1"
"time",19,0,0.000218712588636154,0.977501490466342,0.0566154696247209,"Topic 1"
"take",19,0,0.000267210463399198,0.809082722246162,0.0476371973738381,"Topic 1"
"one",19,0,0.000213380052334265,1,0.0578542707510866,"Topic 1"
"good",19,0,0.000292703968449593,0.740548829953489,0.0441228900772411,"Topic 1"
"that",19,0,0.000340801061864361,0.638245915699247,0.0389252446700495,"Topic 1"
"feel",19,0,0.000337861867842663,0.643659649816322,0.0392003535187225,"Topic 1"
"way",19,0,0.000284001733905323,0.762414589923698,0.0452528378966654,"Topic 1"
"say",19,0,0.000390496547188425,0.797753887919791,0.0537444820772566,"Topic 37"
"get",19,0,0.000368710096834915,0.855255229618947,0.0573456158592417,"Topic 37"
"can",19,0,0.000375991926068114,0.838555448761566,0.0563026901333448,"Topic 37"
"dont",19,0,0.000450183627532283,0.670515312434385,0.0462439963423851,"Topic 37"
"like",19,0,0.000360257868790292,0.880683985102521,0.0590198207657372,"Topic 37"
"peopl",19,0,0.000367469296973213,0.879389933317469,0.0587390434210698,"Topic 37"
"just",19,0,0.000379483901893425,0.821077203848946,0.0552552776218912,"Topic 37"
"think",19,0,0.000517922856753441,0.58472425196615,0.0411506070832042,"Topic 37"
"make",19,0,0.000403439855610999,0.763000541185035,0.0516448375359821,"Topic 37"
"thing",19,0,0.000522681631867074,0.57950261922225,0.0408449108345777,"Topic 37"
"want",19,0,0.000442560327960496,0.683836795951054,0.0469438397857331,"Topic 37"
"know",19,0,0.000456171520491705,0.662470017953451,0.0457276181734185,"Topic 37"
"will",19,0,0.000387241414450219,0.825644150360858,0.0553257844729416,"Topic 37"
"time",19,0,0.000346487708804435,0.944688965601861,0.0630028177016801,"Topic 37"
"take",19,0,0.000418982094028403,0.732357685799227,0.0497323220403305,"Topic 37"
"one",19,0,0.000333152145324473,1,0.0666532354701958,"Topic 37"
"good",19,0,0.00054663674549744,0.55589536597279,0.0393607771293278,"Topic 37"
"that",19,0.286549707602339,0.000727802037845706,0.417387479428319,0.031405249958388,"Topic 37"
"feel",19,0,0.000641371860653524,0.474134284411064,0.0346347867626626,"Topic 37"
"way",19,0,0.000443593574897273,0.684121855699031,0.0469222868306314,"Topic 37"
"say",19,0,0.000408058073106825,0.851284417185236,0.0561639470490892,"Topic 33"
"get",19,0,0.000403088934147997,0.852271757372792,0.0563277092242364,"Topic 33"
"can",19,0,0.0004050913587617,0.850810370149524,0.0561754025720465,"Topic 33"
"dont",19,0,0.00046445682995991,0.691325047392508,0.0468390971167509,"Topic 33"
"like",19,0,0.000391671820243249,0.873662423188608,0.0577050966361695,"Topic 33"
"peopl",19,0,0.000397040999707443,0.878602975097032,0.0578102534334986,"Topic 33"
"just",19,0,0.00041810619897454,0.798860311747091,0.0531455084891022,"Topic 33"
"think",19,0,0.000510560541731606,0.629183273074409,0.0432017390557408,"Topic 33"
"make",19,0,0.000421407501053519,0.809978780386068,0.0536417705855971,"Topic 33"
"thing",19,0,0.000546699660470737,0.588916944401081,0.0408238803267295,"Topic 33"
"want",19,0,0.000458815290623264,0.708939781007412,0.0477349130067964,"Topic 33"
"know",19,0,0.000496290878696061,0.647644421669872,0.0442244759106732,"Topic 33"
"will",19,0,0.000393872178113145,0.91021589859213,0.0597032516604956,"Topic 33"
"time",19,0,0.000375249343313649,0.951761007605253,0.0624284937647687,"Topic 33"
"take",19,0,0.000450567952761507,0.733146190301174,0.0490223580782828,"Topic 33"
"one",19,0,0.000363260936066075,1,0.0655825046757904,"Topic 33"
"good",19,0,0.000555669289035768,0.580087248478792,0.0402801867734549,"Topic 33"
"that",19,0,0.000718635349294603,0.44907496533831,0.0328145375019197,"Topic 33"
"feel",19,0.368421052631579,0.00079428117553614,0.406411621770805,0.0303945193452829,"Topic 33"
"way",19,0,0.000476285972124737,0.679163263400638,0.0459803547935748,"Topic 33"
"say",19,0,0.000398473218405268,0.793910409634241,0.0528440043682545,"Topic 68"
"get",19,0,0.000357236866844658,0.898696014141745,0.059335627845667,"Topic 68"
"can",19,0,0.000365497076023392,0.883422219683488,0.058307512484973,"Topic 68"
"dont",19,0,0.000458284087894064,0.684952170691292,0.0465766015515302,"Topic 68"
"like",19,0,0.000363330401193254,0.87873893488748,0.0581620129346358,"Topic 68"
"peopl",19,0,0.000390247910119744,0.823290559005634,0.054551789675321,"Topic 68"
"just",19,0,0.000384739996760084,0.822015120417083,0.0546257988046843,"Topic 68"
"think",19,0,0.00054094066734996,0.582374019529576,0.0405756173065943,"Topic 68"
"make",19,0,0.000397481224242171,0.795179647124358,0.0529535570461366,"Topic 68"
"thing",19,0,0.0005373151211787,0.586663744208497,0.0407965737697088,"Topic 68"
"want",19,0,0.000469240078042034,0.67111497983068,0.0456416165503239,"Topic 68"
"know",19,0,0.000496200151471625,0.6339101712296,0.0435745090552184,"Topic 68"
"will",19,0,0.00037783876227976,0.860067350448444,0.0567393208598346,"Topic 68"
"time",19,0,0.00034204036076257,0.965097143060172,0.0634814591378937,"Topic 68"
"take",19,0,0.00040971233881054,0.772660569057154,0.0515215558486196,"Topic 68"
"one",19,0,0.00033239446475744,1,0.0657657177625366,"Topic 68"
"good",19,0,0.000516290318197875,0.612084212312833,0.0421415451611719,"Topic 68"
"that",19,0.192982456140351,0.000706477281177958,0.447404939317468,0.0327879248587569,"Topic 68"
"feel",19,0,0.000689154878491113,0.459037008297424,0.0334223169425032,"Topic 68"
"way",19,0,0.000462478397390648,0.681583085704142,0.046194938035636,"Topic 68"
"say",19,0,0.000380654726128942,0.853254122266251,0.0542912147741777,"Topic 47"
"get",19,0,0.000354345393509884,0.943441478326338,0.0596410533174877,"Topic 47"
"can",19,0,0.000345310143031096,0.99804215306141,0.0628330769435747,"Topic 47"
"dont",19,0,0.000418281084889045,0.755342120895703,0.0488313267124298,"Topic 47"
"like",19,0,0.000360148608689059,0.919037746453177,0.0581777229428473,"Topic 47"
"peopl",19,0,0.000381549089302568,0.87740746819785,0.0555029913071438,"Topic 47"
"just",19,0,0.000399520575309628,0.796090819619785,0.0511065914071395,"Topic 47"
"think",19,0,0.000495398013193231,0.640451874404011,0.0423653045626506,"Topic 47"
"make",19,0,0.000386084694789889,0.845518289521824,0.0538358759331107,"Topic 47"
"thing",19,0,0.000535166042306284,0.593567503660763,0.0397625997718827,"Topic 47"
"want",19,0,0.000502499272698421,0.631753021571811,0.0418683490653845,"Topic 47"
"know",19,0,0.000486954738838485,0.651409932171219,0.0429729170025565,"Topic 47"
"will",19,0,0.000387225630260664,0.855439632520925,0.0543260397383226,"Topic 47"
"time",19,0,0.00034556135532801,0.991531069496547,0.0624367322464984,"Topic 47"
"take",19,0,0.000404143534766979,0.801204034931534,0.0512196533925731,"Topic 47"
"one",19,0,0.000342620142457849,1,0.0629852906930015,"Topic 47"
"good",19,0,0.000500421407501054,0.636505788346607,0.0419933937211238,"Topic 47"
"that",19,0.269005847953216,0.000712945590994371,0.446246522254054,0.0316855964531932,"Topic 47"
"feel",19,0,0.000524137931034483,0.607252149252033,0.0404300871624082,"Topic 47"
"way",19,0,0.000476572689876593,0.666996608044627,0.0437341828524937,"Topic 47"
"say",19,0,0.000400404619404872,0.816956357034905,0.0543721186900598,"Topic 30"
"get",19,0,0.000382124612847432,0.871917433861597,0.0577965655420138,"Topic 30"
"can",19,0,0.00037611845751841,0.887846399884805,0.0587573371439219,"Topic 30"
"dont",19,0,0.00044720613849268,0.702328118040446,0.0477365607858963,"Topic 30"
"like",19,0,0.000374842171717172,0.877599925083427,0.0582601797987215,"Topic 30"
"peopl",19,0,0.000369815286996127,0.918907618232176,0.060635189817428,"Topic 30"
"just",19,0,0.000400067379769224,0.806086693146279,0.0538214267906754,"Topic 30"
"think",19,0,0.000554517861312164,0.569019387692213,0.0399142600786449,"Topic 30"
"make",19,0,0.000406026284859494,0.80226425562701,0.0535034822672685,"Topic 30"
"thing",19,0,0.000560587731980055,0.563260521010216,0.0395584172336861,"Topic 30"
"want",19,0,0.000437022725181709,0.721424476858926,0.0487514524123541,"Topic 30"
"know",19,0,0.000512931267210194,0.614893515295034,0.0425503496140311,"Topic 30"
"will",19,0,0.000384047864491743,0.888340925842148,0.0586116754700327,"Topic 30"
"time",19,0,0.00036104513064133,0.947446235501954,0.0624796506385131,"Topic 30"
"take",19,0,0.00043535045711798,0.736066998100729,0.049458224494415,"Topic 30"
"one",19,0,0.000346468753988949,1,0.0659064507165725,"Topic 30"
"good",19,0,0.000564384375464132,0.560929161109378,0.0393272327118805,"Topic 30"
"that",19,0.146198830409357,0.00074091405396974,0.426827783848588,0.0317227974410225,"Topic 30"
"feel",19,0.152046783625731,0.000744630819877724,0.425116199605142,0.0315973024309692,"Topic 30"
"way",19,0,0.000476285972124737,0.663411298395079,0.0452393259218932,"Topic 30"
