"topic","method","rank","term"
29,"probability",2,"movi"
29,"probability",3,"play"
29,"probability",4,"star"
29,"probability",5,"show"
30,"probability",1,"hous"
30,"probability",2,"home"
30,"probability",3,"fire"
30,"probability",4,"live"
30,"probability",5,"apart"
31,"probability",1,"island"
31,"probability",2,"water"
31,"probability",3,"boat"
31,"probability",4,"river"
31,"probability",5,"fish"
32,"probability",1,"percent"
32,"probability",2,"studi"
32,"probability",3,"risk"
32,"probability",4,"health"
32,"probability",5,"report"
33,"probability",1,"sleep"
33,"probability",2,"hour"
33,"probability",3,"get"
33,"probability",4,"day"
33,"probability",5,"time"
34,"probability",1,"case"
34,"probability",2,"death"
34,"probability",3,"charg"
34,"probability",4,"kill"
34,"probability",5,"investig"
35,"probability",1,"race"
35,"probability",2,"run"
35,"probability",3,"ride"
35,"probability",4,"hors"
35,"probability",5,"mile"
36,"probability",1,"govern"
36,"probability",2,"nation"
36,"probability",3,"will"
36,"probability",4,"polit"
36,"probability",5,"countri"
37,"probability",1,"can"
37,"probability",2,"may"
37,"probability",3,"problem"
37,"probability",4,"pain"
37,"probability",5,"depress"
38,"probability",1,"travel"
38,"probability",2,"trip"
38,"probability",3,"tour"
38,"probability",4,"includ"
38,"probability",5,"cruis"
39,"probability",1,"john"
39,"probability",2,"washington"
39,"probability",3,"william"
39,"probability",4,"robert"
39,"probability",5,"georg"
40,"probability",1,"team"
40,"probability",2,"player"
40,"probability",3,"coach"
40,"probability",4,"season"
40,"probability",5,"play"
41,"probability",1,"american"
41,"probability",2,"countri"
41,"probability",3,"cultur"
41,"probability",4,"world"
41,"probability",5,"state"
42,"probability",1,"train"
42,"probability",2,"worker"
42,"probability",3,"work"
42,"probability",4,"union"
42,"probability",5,"crew"
43,"probability",1,"student"
43,"probability",2,"colleg"
43,"probability",3,"univers"
43,"probability",4,"program"
43,"probability",5,"class"
44,"probability",1,"car"
44,"probability",2,"drive"
44,"probability",3,"driver"
44,"probability",4,"road"
44,"probability",5,"truck"
45,"probability",1,"one"
45,"probability",2,"back"
45,"probability",3,"look"
45,"probability",4,"day"
45,"probability",5,"hand"
46,"probability",1,"children"
46,"probability",2,"parent"
46,"probability",3,"child"
46,"probability",4,"kid"
46,"probability",5,"famili"
47,"probability",1,"research"
47,"probability",2,"studi"
47,"probability",3,"brain"
47,"probability",4,"univers"
47,"probability",5,"test"
48,"probability",1,"new"
48,"probability",2,"york"
48,"probability",3,"art"
48,"probability",4,"street"
48,"probability",5,"center"
49,"probability",1,"night"
49,"probability",2,"sleep"
49,"probability",3,"bed"
49,"probability",4,"get"
49,"probability",5,"wake"
50,"probability",1,"war"
50,"probability",2,"bush"
50,"probability",3,"militari"
50,"probability",4,"armi"
50,"probability",5,"forc"
51,"probability",1,"say"
51,"probability",2,"peopl"
51,"probability",3,"get"
51,"probability",4,"today"
51,"probability",5,"work"
52,"probability",1,"citi"
52,"probability",2,"resid"
52,"probability",3,"new"
52,"probability",4,"council"
52,"probability",5,"will"
53,"probability",1,"food"
53,"probability",2,"eat"
53,"probability",3,"cook"
53,"probability",4,"restaur"
53,"probability",5,"dinner"
54,"probability",1,"hospit"
54,"probability",2,"medic"
54,"probability",3,"patient"
54,"probability",4,"doctor"
54,"probability",5,"care"
55,"probability",1,"get"
55,"probability",2,"like"
55,"probability",3,"just"
55,"probability",4,"dont"
55,"probability",5,"think"
56,"probability",1,"light"
56,"probability",2,"time"
56,"probability",3,"day"
56,"probability",4,"clock"
56,"probability",5,"morn"
57,"probability",1,"angel"
57,"probability",2,"los"
57,"probability",3,"san"
57,"probability",4,"time"
57,"probability",5,"california"
58,"probability",1,"water"
58,"probability",2,"plant"
58,"probability",3,"cold"
58,"probability",4,"farm"
58,"probability",5,"winter"
59,"probability",1,"counti"
59,"probability",2,"orang"
59,"probability",3,"santa"
59,"probability",4,"beach"
59,"probability",5,"regist"
60,"probability",1,"breath"
60,"probability",2,"nois"
60,"probability",3,"surgeri"
60,"probability",4,"snore"
60,"probability",5,"sound"
61,"probability",1,"compani"
61,"probability",2,"million"
61,"probability",3,"busi"
61,"probability",4,"year"
61,"probability",5,"new"
62,"probability",1,"club"
62,"probability",2,"play"
62,"probability",3,"round"
62,"probability",4,"open"
62,"probability",5,"green"
63,"probability",1,"women"
63,"probability",2,"men"
63,"probability",3,"woman"
63,"probability",4,"sex"
63,"probability",5,"male"
64,"probability",1,"mark"
64,"probability",2,"miller"
64,"probability",3,"grant"
64,"probability",4,"howard"
64,"probability",5,"allen"
65,"probability",1,"book"
65,"probability",2,"write"
65,"probability",3,"stori"
65,"probability",4,"one"
65,"probability",5,"read"
66,"probability",1,"famili"
66,"probability",2,"year"
66,"probability",3,"father"
66,"probability",4,"mother"
66,"probability",5,"son"
67,"probability",1,"law"
67,"probability",2,"state"
67,"probability",3,"court"
67,"probability",4,"rule"
67,"probability",5,"legal"
68,"probability",1,"exercis"
68,"probability",2,"can"
68,"probability",3,"bodi"
68,"probability",4,"weight"
68,"probability",5,"eat"
69,"probability",1,"said"
69,"probability",2,"polic"
69,"probability",3,"offic"
69,"probability",4,"report"
69,"probability",5,"two"
70,"probability",1,"smith"
70,"probability",2,"stephen"
70,"probability",3,"carolina"
70,"probability",4,"one"
70,"probability",5,"time"
1,"score",1,"apnea"
1,"score",2,"disord"
1,"score",3,"insomnia"
1,"score",4,"sleep"
1,"score",5,"patient"
2,"score",1,"inning"
2,"score",2,"game"
2,"score",3,"pitcher"
2,"score",4,"basebal"
2,"score",5,"pitch"
3,"score",1,"funer"
3,"score",2,"church"
3,"score",3,"saturday"
3,"score",4,"sunday"
3,"score",5,"friday"
4,"score",1,"homeless"
4,"score",2,"shelter"
4,"score",3,"volunt"
4,"score",4,"church"
4,"score",5,"servic"
5,"score",1,"mattress"
5,"score",2,"store"
5,"score",3,"bed"
5,"score",4,"retail"
5,"score",5,"shop"
6,"score",1,"cat"
6,"score",2,"anim"
6,"score",3,"adopt"
6,"score",4,"fox"
6,"score",5,"human"
7,"score",1,"elementari"
7,"score",2,"school"
7,"score",3,"student"
7,"score",4,"teacher"
7,"score",5,"teen"
8,"score",1,"jail"
8,"score",2,"counti"
8,"score",3,"prison"
8,"score",4,"sheriff"
8,"score",5,"supervisor"
9,"score",1,"infant"
9,"score",2,"babi"
9,"score",3,"parent"
9,"score",4,"birth"
9,"score",5,"pediatr"
10,"score",1,"inn"
10,"score",2,"hotel"
10,"score",3,"guest"
10,"score",4,"room"
10,"score",5,"lodg"
11,"score",1,"pillow"
11,"score",2,"room"
11,"score",3,"space"
11,"score",4,"design"
11,"score",5,"bedroom"
12,"score",1,"rebound"
12,"score",2,"game"
12,"score",3,"playoff"
12,"score",4,"victori"
12,"score",5,"score"
13,"score",1,"airlin"
13,"score",2,"flight"
13,"score",3,"airport"
13,"score",4,"plane"
13,"score",5,"passeng"
14,"score",1,"jackson"
14,"score",2,"michael"
14,"score",3,"brown"
14,"score",4,"vega"
14,"score",5,"las"
15,"score",1,"dream"
15,"score",2,"nightmar"
15,"score",3,"memori"
15,"score",4,"emot"
15,"score",5,"mind"
16,"score",1,"album"
16,"score",2,"music"
16,"score",3,"song"
16,"score",4,"band"
16,"score",5,"danc"
17,"score",1,"camp"
17,"score",2,"park"
17,"score",3,"tent"
17,"score",4,"summer"
17,"score",5,"cabin"
18,"score",1,"dog"
18,"score",2,"pet"
18,"score",3,"owner"
18,"score",4,"rescu"
18,"score",5,"anim"
19,"score",1,"caffein"
19,"score",2,"drink"
19,"score",3,"alcohol"
19,"score",4,"smoke"
19,"score",5,"coffe"
20,"score",1,"clinton"
20,"score",2,"democrat"
20,"score",3,"republican"
20,"score",4,"senat"
20,"score",5,"campaign"
21,"score",1,"stock"
21,"score",2,"fund"
21,"score",3,"invest"
21,"score",4,"market"
21,"score",5,"tax"
22,"score",1,"duck"
22,"score",2,"king"
22,"score",3,"wilson"
22,"score",4,"goal"
22,"score",5,"ice"
23,"score",1,"gang"
23,"score",2,"street"
23,"score",3,"neighborhood"
23,"score",4,"black"
23,"score",5,"gun"
24,"score",1,"chart"
24,"score",2,"comput"
24,"score",3,"internet"
24,"score",4,"network"
24,"score",5,"onlin"
25,"score",1,"olymp"
25,"score",2,"won"
25,"score",3,"win"
25,"score",4,"championship"
25,"score",5,"athlet"
26,"score",1,"dear"
26,"score",2,"love"
26,"score",3,"husband"
26,"score",4,"marri"
26,"score",5,"marriag"
27,"score",1,"prescrib"
27,"score",2,"drug"
27,"score",3,"pill"
27,"score",4,"patient"
27,"score",5,"medic"
28,"score",1,"text"
28,"score",2,"photo"
28,"score",3,"caption"
28,"score",4,"illustr"
28,"score",5,"chicago"
29,"score",1,"film"
29,"score",2,"movi"
29,"score",3,"actor"
29,"score",4,"comedi"
29,"score",5,"theater"
30,"score",1,"fire"
30,"score",2,"hous"
30,"score",3,"apart"
30,"score",4,"home"
30,"score",5,"build"
31,"score",1,"boat"
31,"score",2,"island"
31,"score",3,"fish"
31,"score",4,"sea"
31,"score",5,"river"
32,"score",1,"diabet"
32,"score",2,"percent"
32,"score",3,"studi"
32,"score",4,"health"
32,"score",5,"diseas"
33,"score",1,"nap"
33,"score",2,"hour"
33,"score",3,"sleep"
33,"score",4,"depriv"
33,"score",5,"sleepi"
34,"score",1,"juri"
34,"score",2,"prosecutor"
34,"score",3,"murder"
34,"score",4,"testifi"
34,"score",5,"attorney"
35,"score",1,"hors"
35,"score",2,"race"
35,"score",3,"ride"
35,"score",4,"bike"
35,"score",5,"mile"
36,"score",1,"reagan"
36,"score",2,"govern"
36,"score",3,"polit"
36,"score",4,"minist"
36,"score",5,"nation"
37,"score",1,"headach"
37,"score",2,"symptom"
37,"score",3,"depress"
37,"score",4,"pain"
37,"score",5,"stress"
38,"score",1,"cruis"
38,"score",2,"tour"
38,"score",3,"travel"
38,"score",4,"trip"
38,"score",5,"tourist"
39,"score",1,"kennedi"
39,"score",2,"william"
39,"score",3,"john"
39,"score",4,"washington"
39,"score",5,"johnson"
40,"score",1,"quarterback"
40,"score",2,"coach"
40,"score",3,"player"
40,"score",4,"team"
40,"score",5,"game"
41,"score",1,"spanish"
41,"score",2,"immigr"
41,"score",3,"american"
41,"score",4,"cultur"
41,"score",5,"japanes"
42,"score",1,"pilot"
42,"score",2,"worker"
42,"score",3,"crew"
42,"score",4,"train"
42,"score",5,"union"
43,"score",1,"campus"
43,"score",2,"student"
43,"score",3,"colleg"
43,"score",4,"program"
43,"score",5,"class"
44,"score",1,"driver"
44,"score",2,"car"
44,"score",3,"truck"
44,"score",4,"drive"
44,"score",5,"bus"
45,"score",1,"bird"
45,"score",2,"man"
45,"score",3,"walk"
45,"score",4,"smile"
45,"score",5,"back"
46,"score",1,"foster"
46,"score",2,"children"
46,"score",3,"parent"
46,"score",4,"child"
46,"score",5,"kid"
47,"score",1,"hormon"
47,"score",2,"research"
47,"score",3,"brain"
47,"score",4,"studi"
47,"score",5,"scientist"
48,"score",1,"galleri"
48,"score",2,"museum"
48,"score",3,"art"
48,"score",4,"york"
48,"score",5,"street"
49,"score",1,"sleeper"
49,"score",2,"bed"
49,"score",3,"night"
49,"score",4,"sleep"
49,"score",5,"bedtim"
50,"score",1,"bush"
50,"score",2,"war"
50,"score",3,"militari"
50,"score",4,"soldier"
50,"score",5,"armi"
51,"score",1,"usa"
51,"score",2,"say"
51,"score",3,"add"
51,"score",4,"peopl"
51,"score",5,"shes"
52,"score",1,"council"
52,"score",2,"citi"
52,"score",3,"mayor"
52,"score",4,"resid"
52,"score",5,"offici"
53,"score",1,"wine"
53,"score",2,"food"
53,"score",3,"restaur"
53,"score",4,"cook"
53,"score",5,"dinner"
54,"score",1,"cancer"
54,"score",2,"patient"
54,"score",3,"hospit"
54,"score",4,"medic"
54,"score",5,"doctor"
55,"score",1,"bat"
55,"score",2,"hes"
55,"score",3,"think"
55,"score",4,"dont"
55,"score",5,"guy"
56,"score",1,"clock"
56,"score",2,"light"
56,"score",3,"rhythm"
56,"score",4,"shift"
56,"score",5,"alarm"
57,"score",1,"seal"
57,"score",2,"angel"
57,"score",3,"los"
57,"score",4,"san"
57,"score",5,"california"
58,"score",1,"plant"
58,"score",2,"farm"
58,"score",3,"water"
58,"score",4,"tree"
58,"score",5,"temperatur"
59,"score",1,"ana"
59,"score",2,"counti"
59,"score",3,"orang"
59,"score",4,"santa"
59,"score",5,"beach"
60,"score",1,"snore"
60,"score",2,"surgeri"
60,"score",3,"breath"
60,"score",4,"nois"
60,"score",5,"devic"
61,"score",1,"revenu"
61,"score",2,"compani"
61,"score",3,"million"
61,"score",4,"industri"
61,"score",5,"busi"
62,"score",1,"golf"
62,"score",2,"tournament"
62,"score",3,"club"
62,"score",4,"player"
62,"score",5,"round"
63,"score",1,"era"
63,"score",2,"women"
63,"score",3,"men"
63,"score",4,"woman"
63,"score",5,"sex"
64,"score",1,"miller"
64,"score",2,"allen"
64,"score",3,"howard"
64,"score",4,"larri"
64,"score",5,"tim"
65,"score",1,"novel"
65,"score",2,"book"
65,"score",3,"write"
65,"score",4,"fiction"
65,"score",5,"stori"
66,"score",1,"mrs"
66,"score",2,"father"
66,"score",3,"mother"
66,"score",4,"son"
66,"score",5,"famili"
67,"score",1,"suprem"
67,"score",2,"law"
67,"score",3,"court"
67,"score",4,"legal"
67,"score",5,"lawyer"
68,"score",1,"exercis"
68,"score",2,"weight"
68,"score",3,"diet"
68,"score",4,"bodi"
68,"score",5,"fat"
69,"score",1,"polic"
69,"score",2,"said"
69,"score",3,"yesterday"
69,"score",4,"offic"
69,"score",5,"offici"
70,"score",1,"smith"
70,"score",2,"stephen"
70,"score",3,"carolina"
70,"score",4,"north"
70,"score",5,"miss"
